bedrooms,bathrooms,area_sqft,balconies,floor,location_rating,age_years,furnishing,parking_spaces,distance_to_city_center_km,rent_price
1,1.0,1362.0,2,13,3,15,1,2,9.135475306,55.04084121
5,1.0,2029.0,0,17,2,25,1,1,14.31595324,84.2910729
3,1.0,1793.0,0,9,4,23,0,0,12.79595059,63.3262556
4,3.0,1668.0,2,8,4,5,0,1,10.3810009,85.13108728
3,2.0,1583.0,0,16,1,7,0,0,6.002888755,54.2407001
3,3.0,772.0,0,3,2,0,1,1,20.11533611,63.552036
1,2.0,684.0,2,5,5,13,1,0,11.40186217,47.12767736
3,3.0,2968.0,0,13,4,3,0,0,3.373498658,90.0710946
5,2.0,1206.0,2,18,1,9,0,1,3.049687198,69.52321536
3,1.0,1046.0,2,16,4,26,1,0,6.714792612,63.20116246
1,1.0,2004.0,1,14,2,15,1,0,14.25350774,65.91152749
5,1.0,2583.0,2,11,2,3,1,1,4.551478896,79.51867525
2,3.0,495.0,0,18,3,1,0,2,6.160408903,30.28787186
3,1.0,673.0,1,8,5,1,0,2,13.04087722,52.59933613
1,2.0,1600.0,1,12,5,12,1,0,6.22624943,71.36894905
2,3.0,2172.0,0,19,1,10,0,1,21.59354433,61.2787367
2,2.0,1183.0,1,2,5,9,0,2,15.16020541,58.8757015
4,3.0,1700.0,0,9,2,24,1,1,3.059836373,77.72800594
5,2.0,531.0,1,9,5,5,1,2,4.357258915,58.62218312
3,2.0,1790.0,0,14,1,6,0,0,5.684177003,59.34866663
1,3.0,2820.0,2,15,4,26,1,1,16.11746411,100.726743
4,3.0,1549.0,2,11,5,26,0,0,3.535609645,73.61970714
5,1.0,2210.0,1,13,5,14,0,0,2.038953197,79.5059992
4,1.0,2430.0,1,5,2,19,1,0,18.4830492,82.23928315
5,2.0,1207.0,2,6,2,18,0,1,12.47504018,48.23273671
5,2.0,1143.0,0,5,4,2,0,2,21.37103474,66.51936891
3,2.0,450.0,1,1,3,20,1,0,20.02858753,38.80548988
5,3.0,1581.0,2,18,5,26,1,1,7.564184927,84.20651239
4,3.0,455.0,1,8,2,13,1,2,5.614222532,54.3543387
5,1.0,1143.0,2,17,3,21,1,0,13.39142854,59.35879964
3,2.0,2875.0,2,11,5,29,0,2,2.922499082,90.36026017
3,1.0,842.0,2,11,5,1,0,2,16.18868211,58.55664347
4,3.0,2334.0,0,3,3,22,0,1,1.292305892,88.4539805
2,3.0,2773.0,1,8,2,15,0,1,20.27452527,84.80453822
2,3.0,2061.0,0,8,4,22,0,1,22.37673329,78.40525151
5,1.0,479.0,0,3,5,16,1,2,24.90880947,59.6774081
1,3.0,2921.0,2,10,1,14,1,2,9.258575481,89.30448676
5,2.0,776.0,0,19,1,29,1,1,14.4862305,60.49138012
4,1.0,2780.0,1,14,1,28,0,2,21.71107174,77.3140921
4,3.0,840.0,1,18,4,12,1,2,12.09133611,68.81995757
4,1.0,525.0,2,3,5,28,0,2,8.902208975,41.72787266
4,1.0,2117.0,2,14,2,28,1,1,2.171803197,64.51748952
4,3.0,618.0,1,11,2,11,1,0,10.45776196,62.88997727
3,3.0,1347.0,1,10,4,6,1,0,2.893391925,71.19262224
2,1.0,677.0,2,14,5,28,1,1,9.711905243,54.05316322
4,1.0,994.0,0,1,3,19,1,2,9.232768153,58.72218026
1,3.0,1334.0,1,16,3,19,0,1,16.53233804,55.88989992
1,2.0,2418.0,2,6,5,2,0,0,9.785840106,82.5246407
1,1.0,540.0,2,18,5,8,0,1,10.2200959,27.46433574
1,1.0,2030.0,1,16,2,2,0,0,7.872415941,57.73685815
3,2.0,1276.0,2,19,4,15,0,0,15.59155451,
1,3.0,2129.0,1,16,4,19,0,1,10.34440321,74.60215711
4,3.0,509.0,2,5,2,2,1,1,23.76611265,46.56679282
5,2.0,1475.0,2,12,1,7,1,0,22.40731434,71.21105257
1,3.0,2393.0,0,6,3,7,1,2,6.686007081,83.48643056
3,3.0,1622.0,2,2,5,25,0,2,10.69533432,77.58282121
3,1.0,1195.0,1,16,3,23,0,0,16.22998151,60.75890511
1,1.0,,1,11,3,14,0,2,1.39147913,69.59601946
5,1.0,1128.0,0,12,4,4,1,0,6.457885382,65.85486829
1,2.0,2952.0,1,11,2,12,1,0,7.840715132,88.90509847
3,3.0,1937.0,2,19,1,14,1,0,10.65752717,79.66965191
2,3.0,1440.0,0,8,1,6,1,1,22.34349446,54.65017421
4,1.0,714.0,1,18,2,11,1,1,3.311848822,63.18200506
3,1.0,476.0,2,5,3,2,1,1,2.579993569,56.51484853
1,2.0,2040.0,0,12,2,7,0,0,16.94603806,56.91394599
4,3.0,1111.0,2,10,2,9,0,1,9.747860391,52.69940168
1,2.0,1937.0,1,15,5,1,1,2,5.265293992,67.0280477
1,3.0,2267.0,1,5,5,7,1,2,17.84333972,76.96281574
2,2.0,1253.0,1,17,3,21,0,1,6.830572917,44.80262257
4,1.0,1561.0,1,4,4,17,1,1,14.57535464,69.91309883
4,2.0,1997.0,0,12,1,11,0,0,10.81015554,64.87209127
2,2.0,2312.0,1,18,5,21,1,1,9.669187185,93.44451685
3,1.0,664.0,0,8,3,26,1,1,18.30740015,38.64769595
1,3.0,732.0,0,17,2,25,1,1,15.7218151,45.24396108
5,3.0,2635.0,2,8,5,17,1,0,13.33220667,109.0232296
1,1.0,1486.0,1,13,2,18,0,2,4.074034297,46.77907192
1,2.0,1219.0,2,3,2,26,0,0,15.05537404,42.75231566
3,2.0,1702.0,2,3,5,4,1,1,17.62604709,78.77801369
1,2.0,1965.0,2,7,3,15,0,1,20.55518589,67.61342028
2,3.0,1594.0,2,18,1,16,1,2,8.1857218,59.94290612
2,2.0,1926.0,2,7,3,8,0,1,7.343468032,57.50557631
4,3.0,698.0,1,2,4,9,0,0,18.97054131,57.73601955
5,2.0,2648.0,2,7,4,18,1,0,12.21888843,99.79652943
1,1.0,1558.0,0,2,1,28,0,0,10.74052872,44.98745775
1,1.0,671.0,0,7,4,11,1,0,4.85490034,36.92729557
3,3.0,,1,14,2,0,0,1,11.41970451,47.59239455
2,3.0,2478.0,0,15,4,21,1,0,18.42705231,
5,1.0,1544.0,2,16,5,16,0,1,11.81326199,85.69256086
4,1.0,468.0,0,8,2,2,1,0,21.94552911,40.72319734
2,2.0,1226.0,2,16,3,6,0,2,1.10101917,51.74506254
4,1.0,1569.0,1,7,1,19,1,2,5.319195102,62.16237711
3,3.0,1383.0,0,11,5,8,1,0,15.75079779,77.34700935
3,1.0,880.0,0,4,5,22,0,2,17.12756151,49.7813948
1,,2740.0,0,18,1,4,0,2,7.616837537,78.21701151
5,3.0,2415.0,1,13,4,8,0,2,23.60539383,92.12270519
4,2.0,1852.0,1,17,1,18,1,2,8.935435493,80.24312887
2,2.0,2533.0,0,12,1,10,1,1,10.8685648,76.88821708
3,2.0,1439.0,1,18,4,13,0,0,24.43308126,72.78722164
1,,1027.0,2,10,3,13,0,2,12.5005691,51.58001874
1,1.0,517.0,1,7,1,7,0,1,15.70880679,23.45834583
4,2.0,2717.0,0,12,4,23,1,2,13.96428218,98.32678375
3,1.0,561.0,2,12,5,19,0,1,5.260122234,42.06275371
5,2.0,,0,13,1,0,1,0,24.7960285,85.68167543
3,2.0,566.0,0,1,1,3,1,1,2.417754727,45.86157912
4,3.0,699.0,0,7,3,15,1,0,24.60389475,58.94964465
4,1.0,2475.0,1,16,3,24,1,1,12.23189691,84.03436639
3,3.0,961.0,0,16,5,25,1,1,5.550553793,61.7575676
4,2.0,2603.0,2,16,3,0,1,2,5.006339066,100.7872337
3,1.0,1747.0,2,16,5,18,1,2,16.73392376,68.98320477
2,2.0,1544.0,2,14,1,23,1,1,18.05938922,54.51362423
3,3.0,1951.0,0,11,4,2,1,1,22.56866811,84.52632434
3,1.0,960.0,2,19,3,1,0,1,6.676458713,51.56103161
4,3.0,1587.0,2,11,5,16,0,0,11.39707429,80.14178313
4,2.0,2089.0,2,2,3,24,1,1,24.30860486,78.97719323
1,2.0,711.0,2,7,3,10,0,0,11.27206315,33.73816675
1,2.0,2823.0,1,9,2,25,0,0,12.02995272,71.75611249
2,1.0,1769.0,0,9,1,2,0,0,7.924736975,57.62135004
1,3.0,2597.0,0,14,3,6,1,0,21.90282708,87.92112324
3,3.0,2311.0,2,10,4,9,1,0,9.774925208,85.11974623
4,2.0,980.0,0,16,2,2,0,0,16.25297944,52.37355349
1,3.0,1376.0,2,18,5,28,1,0,5.382383998,66.5201888
1,1.0,576.0,2,1,5,7,1,1,15.77782453,
2,2.0,2801.0,2,2,4,24,1,0,23.41516228,97.13172787
2,2.0,913.0,0,4,4,27,1,1,19.64395621,55.4933119
3,2.0,2756.0,1,2,1,23,0,1,2.624617094,84.66312014
4,1.0,518.0,0,4,4,4,0,0,16.21512934,39.02458568
2,2.0,1942.0,0,6,5,26,0,1,14.40815693,71.80513815
1,2.0,1166.0,1,4,1,9,0,1,9.125789442,38.71702541
4,2.0,1372.0,0,18,4,11,1,0,21.22486071,68.70744937
4,2.0,1315.0,1,5,4,17,1,1,20.00098503,71.03049235
1,3.0,2925.0,2,11,5,5,1,1,16.56654637,101.0309124
2,2.0,1837.0,1,13,1,7,1,2,18.86036239,59.19826435
1,1.0,986.0,2,3,2,17,1,2,5.635898534,40.71005827
4,2.0,750.0,1,19,2,5,1,0,23.08877051,62.59309993
5,2.0,1929.0,2,11,1,22,1,0,17.03277354,72.17386588
5,3.0,2642.0,0,11,4,29,1,0,12.22761607,107.6765287
3,2.0,1873.0,1,2,4,8,1,0,5.634598417,75.1749011
1,3.0,895.0,0,15,1,15,1,0,17.38632064,46.53336276
1,1.0,2962.0,2,8,2,10,0,2,3.321208178,73.00189531
3,3.0,2270.0,1,2,3,24,0,2,8.673944842,86.31286466
3,2.0,672.0,1,8,5,29,1,1,14.77075819,59.77404363
3,1.0,2499.0,1,15,1,1,1,2,16.50628373,79.01205203
4,2.0,662.0,0,16,3,16,1,0,1.415924308,60.25181908
1,3.0,2580.0,2,13,5,12,0,2,1.211439687,82.50808436
4,1.0,2757.0,0,17,3,6,1,1,3.675077608,91.38679047
3,1.0,1996.0,1,14,3,21,0,0,19.43989659,68.82586199
1,3.0,2463.0,2,14,5,9,1,0,14.61046035,85.28050114
4,3.0,2164.0,2,1,3,25,0,1,15.60193283,78.61039537
4,1.0,594.0,0,1,2,12,1,2,15.48229906,42.56072722
3,1.0,2186.0,0,3,1,9,0,1,1.883614531,59.4369681
1,3.0,1866.0,1,15,2,27,1,0,5.134707506,66.14290333
3,2.0,2750.0,1,5,2,3,0,0,18.46879187,84.09433427
1,1.0,1471.0,1,5,5,26,1,2,16.49723379,51.26660448
5,3.0,2170.0,1,4,5,10,1,1,11.6869634,106.6799342
2,2.0,1544.0,2,14,5,8,1,2,1.489588985,75.44497398
2,1.0,1922.0,1,7,3,15,0,0,11.0042665,60.41876084
2,1.0,1231.0,1,15,3,16,0,1,6.950900146,51.99861682
3,3.0,961.0,1,11,1,22,0,1,17.73446182,46.99243995
5,,440.0,0,14,3,4,0,2,20.79224607,42.98207635
1,1.0,1879.0,0,6,1,4,1,0,13.09135785,54.91890798
4,2.0,2981.0,0,10,2,5,1,1,10.68461424,97.72223696
1,2.0,770.0,1,7,1,1,1,2,7.553017132,38.69273252
4,1.0,1605.0,2,10,1,26,0,0,3.222658159,62.61973158
1,2.0,2964.0,1,14,5,13,1,0,9.921959625,98.79275839
5,1.0,1056.0,0,5,3,10,0,0,17.27276845,54.168802
4,2.0,989.0,0,1,4,18,0,2,16.9858631,69.67965656
3,1.0,630.0,1,19,4,10,0,0,10.90666039,38.8655175
1,3.0,1208.0,2,8,5,24,1,2,24.18348115,62.17866685
1,1.0,1771.0,2,19,2,19,0,0,23.56179441,52.47392977
4,1.0,878.0,2,17,2,5,0,2,22.01561854,46.4166818
3,1.0,1632.0,0,19,2,12,0,2,11.45915688,47.17522971
3,2.0,2725.0,0,16,1,28,0,1,18.9167709,74.24906475
5,3.0,2172.0,2,4,3,18,0,2,23.29599559,87.74925656
3,2.0,2500.0,1,8,2,2,1,1,18.70328741,86.04921539
3,2.0,2284.0,2,4,4,24,0,0,8.578254963,75.76267204
3,1.0,1433.0,1,13,1,15,0,0,2.632191813,52.86851615
2,2.0,2162.0,0,7,2,8,0,2,23.99229852,69.19681581
5,1.0,1147.0,0,1,2,28,0,0,24.81822822,61.08827221
1,3.0,863.0,0,9,3,2,1,0,17.64738558,48.94679794
4,2.0,1153.0,2,4,3,18,0,2,8.568471739,58.17164402
1,2.0,2240.0,2,14,1,14,1,0,21.76068928,69.05778906
5,2.0,982.0,0,9,4,21,0,0,23.88290673,63.94907209
4,1.0,2605.0,0,3,5,12,0,0,13.15462992,97.45015771
5,1.0,418.0,0,15,4,16,0,1,8.479582558,43.88353367
3,2.0,454.0,2,5,3,29,1,0,10.75263386,54.80029575
4,2.0,2150.0,2,1,3,20,1,2,2.772353755,88.91924917
3,3.0,1120.0,0,11,5,24,0,2,14.57603304,64.49827274
1,3.0,1963.0,2,19,4,24,1,0,10.09248377,75.1511566
1,3.0,2732.0,2,5,4,7,1,2,22.22897537,89.94346527
4,3.0,1955.0,2,17,5,21,1,2,7.61325617,91.82426926
4,3.0,2958.0,2,19,3,13,0,2,1.200888005,106.4492092
5,1.0,1819.0,0,17,1,8,1,2,18.69190177,81.85579007
5,3.0,2567.0,0,5,4,2,1,0,1.177800429,108.0277124
3,3.0,2544.0,2,9,2,28,1,2,14.10330651,92.68644755
4,2.0,2567.0,0,6,4,8,1,1,5.350214944,91.80685177
1,1.0,1960.0,0,13,4,23,1,1,15.65149998,63.35877493
5,3.0,1576.0,0,11,4,11,1,1,5.749222529,88.41440479
5,3.0,1668.0,1,1,3,14,0,0,13.04505078,
1,3.0,2195.0,0,17,2,16,0,2,9.041652879,68.77988838
5,2.0,2840.0,0,6,4,8,1,0,5.381317559,101.4324895
3,2.0,1566.0,2,3,1,23,1,2,15.55558082,64.67492007
4,2.0,2270.0,2,16,2,7,0,2,2.973247371,89.7077308
1,3.0,2667.0,1,13,5,5,1,2,23.58726973,86.97819198
4,2.0,559.0,1,12,1,8,0,2,19.67510951,43.66060437
5,3.0,1038.0,0,11,5,14,1,2,22.98082299,76.79843028
5,1.0,1455.0,0,2,4,23,0,0,2.019214152,74.53510789
1,3.0,733.0,2,19,3,17,0,0,1.051352942,41.53941322
3,2.0,1291.0,0,8,4,21,1,1,9.590280259,64.56927211
2,1.0,2416.0,0,13,4,27,1,0,15.80033292,76.62046139
1,3.0,751.0,0,14,5,10,1,1,6.86549331,55.32182372
2,1.0,1762.0,0,15,4,23,0,1,14.18381868,59.27076607
2,1.0,1325.0,0,17,1,13,0,2,15.54403909,55.75690325
3,1.0,1823.0,0,15,3,12,0,0,4.639047874,65.37840853
2,3.0,2843.0,0,10,5,12,0,0,19.45293798,96.29044877
2,2.0,2977.0,0,1,2,21,0,2,23.47261949,74.448318
3,3.0,2805.0,2,12,4,12,1,2,16.3630656,101.9548538
2,2.0,1819.0,1,9,5,29,0,1,23.74837074,61.28444213
2,3.0,459.0,0,5,4,26,0,0,6.907211037,41.95700356
2,3.0,2924.0,2,15,4,24,1,0,1.876348982,102.9250957
1,3.0,400.0,0,3,5,15,1,1,6.938454164,54.42819424
1,2.0,1978.0,0,19,1,11,0,1,16.55466989,61.35735377
1,3.0,710.0,1,7,2,20,0,1,15.3432381,37.97424234
3,1.0,2615.0,2,7,4,23,1,2,7.417736239,95.71633404
5,3.0,2639.0,0,7,1,25,1,1,10.79313507,107.7165993
2,1.0,1107.0,1,2,4,17,0,1,9.823245424,43.19963271
2,2.0,1581.0,1,2,4,11,0,2,23.81021795,67.15836098
3,2.0,2180.0,0,12,1,4,1,1,8.544113468,71.84318127
2,3.0,1923.0,0,5,4,16,1,1,5.634708757,77.46211066
1,3.0,2813.0,2,4,2,20,1,0,14.57470353,87.39010253
5,3.0,1763.0,2,7,5,22,0,1,3.995772439,93.25753935
4,1.0,1257.0,0,16,1,0,0,1,13.1888773,51.03373947
2,2.0,2774.0,0,3,3,12,0,2,17.48667216,77.05527948
1,1.0,2561.0,1,2,4,9,1,1,23.63831412,69.45341764
4,1.0,1318.0,2,17,5,2,0,0,22.41418471,63.82987983
5,3.0,1008.0,0,9,2,5,0,0,21.1891818,70.25805904
4,3.0,708.0,0,8,2,15,1,2,10.45294663,55.57184561
1,1.0,2848.0,2,12,3,27,0,0,22.45538399,80.56914331
4,1.0,1743.0,0,7,2,0,0,2,18.19933352,60.97473985
3,3.0,611.0,1,14,5,18,1,0,11.59664913,60.68284661
4,3.0,2764.0,1,16,3,7,1,0,14.53788187,103.7118037
2,1.0,584.0,0,1,1,8,1,1,11.46666074,38.57223257
2,3.0,1628.0,2,10,3,22,0,2,5.72290442,58.21577643
3,3.0,1787.0,1,11,1,19,0,1,11.84049806,64.18337724
1,1.0,1639.0,2,7,2,22,0,2,20.3778323,53.35116528
2,1.0,645.0,2,18,5,6,0,1,7.398113364,34.98400745
5,2.0,638.0,2,19,4,10,1,0,16.36817186,67.16992897
2,1.0,2228.0,1,14,3,22,0,1,14.27855701,61.34165964
2,3.0,1814.0,1,17,2,7,1,0,23.08261349,69.43449698
1,1.0,919.0,0,19,5,10,0,2,18.90807075,42.64233625
4,1.0,2013.0,2,13,4,13,1,2,9.673394035,78.87255294
2,1.0,676.0,1,3,3,13,1,0,14.48143361,46.43728584
3,2.0,1405.0,1,2,5,3,0,1,22.86908802,66.87243545
4,2.0,2649.0,0,9,2,19,0,0,6.435534085,90.0889986
5,3.0,613.0,1,7,3,8,1,1,12.38759963,60.94172507
1,2.0,1005.0,1,14,3,7,1,0,6.320334944,54.6132715
5,1.0,877.0,1,5,1,14,0,0,11.04218633,53.4227979
4,2.0,907.0,0,15,1,26,1,2,2.397357575,54.20558528
4,1.0,1498.0,0,1,3,19,0,1,22.02329069,56.98176199
4,2.0,2377.0,2,7,5,5,0,1,24.47789804,97.3699748
5,2.0,541.0,1,5,2,24,0,0,14.62740252,44.89420862
4,2.0,2769.0,0,4,4,15,0,1,14.29777464,97.51735325
5,1.0,2117.0,0,11,1,15,1,0,23.93976137,80.76759498
4,2.0,860.0,0,19,2,28,1,0,10.43780047,56.78583593
3,1.0,1069.0,2,6,3,13,1,1,15.90617927,49.7176168
4,1.0,2501.0,2,18,2,27,1,1,21.09426673,81.13667796
5,3.0,2724.0,2,5,2,29,1,0,13.13785925,110.6942875
2,2.0,2244.0,2,15,2,14,1,1,6.315954487,76.28942235
4,3.0,2018.0,2,6,3,21,0,1,20.50483646,86.18019399
2,3.0,799.0,1,4,1,26,0,1,7.507250708,29.79456895
3,1.0,1067.0,1,17,4,20,1,1,21.25062206,55.94220411
1,2.0,2963.0,0,15,5,11,0,2,23.67071337,91.31485783
3,1.0,1922.0,2,18,1,22,0,2,14.10519234,57.26711371
4,1.0,1734.0,2,6,4,17,1,0,2.183142295,67.71117175
2,2.0,1694.0,0,19,3,23,0,0,23.93482754,64.31571922
2,1.0,1872.0,1,12,4,10,0,2,20.95178338,53.66548208
5,2.0,2559.0,2,9,3,6,0,0,3.816623238,95.40177359
2,2.0,638.0,2,8,4,5,0,2,16.10530318,43.92772091
5,1.0,1443.0,2,15,1,2,0,0,8.574692813,59.31441405
1,1.0,1712.0,1,1,3,8,0,1,8.927920366,52.44009545
4,3.0,2016.0,1,2,2,14,1,1,14.9273808,84.25152054
5,1.0,2644.0,2,3,3,1,0,2,18.0851202,94.97699951
1,2.0,2829.0,2,19,3,3,1,2,1.269611855,87.0665486
2,3.0,2121.0,0,10,4,1,0,2,4.664146793,81.56951536
2,2.0,2140.0,0,14,3,5,0,2,22.6672357,79.96340008
1,3.0,1915.0,1,19,4,11,1,1,12.87980809,69.27156254
2,1.0,2611.0,0,11,1,6,0,1,12.8050457,68.52458942
1,1.0,1672.0,2,6,3,8,1,2,21.16755669,53.26500745
5,1.0,,1,19,2,5,0,2,4.104998731,70.06864168
5,2.0,1935.0,0,14,2,21,1,0,18.12794345,82.61664679
1,3.0,935.0,1,8,1,4,1,1,13.14941514,43.84779183
5,2.0,2558.0,2,2,2,25,0,1,18.79813313,89.92093365
5,3.0,1348.0,0,18,4,26,0,2,17.30241577,71.85939429
5,1.0,1262.0,0,4,3,27,1,0,16.99562593,57.44318683
3,2.0,1421.0,0,3,5,25,1,1,21.54490904,73.857941
4,1.0,2907.0,2,2,3,3,0,0,14.21871869,87.69978204
2,2.0,833.0,1,4,3,9,0,0,10.78839143,43.97071721
3,1.0,1803.0,0,18,5,26,0,1,5.763888722,81.92076383
